TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,38,19,19,0.5,48.3,42.8,92.1,0.465,13.1,36.8,0.354,18.6,23.7,0.785,12.0,33.1,45.1,29.9,16.0,10.3,5.3,5.6,18.5,20.0,117.2,-2.6,5,15,16,16,13,9,4,15,17,18,18,4,5,11,8,21,10,3,23,2,11,19,13,6,6,21
1610612738,Boston Celtics,38,27,11,0.711,48.4,41.6,90.6,0.46,18.0,49.5,0.364,16.7,21.0,0.793,10.9,34.0,44.9,25.4,12.0,7.6,5.7,4.2,16.1,18.8,117.9,9.5,5,3,3,3,8,13,8,17,1,1,14,17,19,8,16,7,11,17,2,22,6,4,1,15,5,3
1610612751,Brooklyn Nets,38,13,25,0.342,48.3,38.0,84.9,0.447,14.3,39.3,0.364,16.9,20.9,0.809,9.3,30.3,39.6,25.2,15.6,7.4,3.7,6.0,21.3,19.4,107.2,-6.6,5,24,25,25,13,29,30,25,7,8,13,15,21,2,27,28,30,18,20,28,30,26,28,10,28,25
1610612766,Charlotte Hornets,35,8,27,0.229,48.4,38.2,89.9,0.425,14.3,41.9,0.341,15.4,19.9,0.772,13.0,33.3,46.2,23.4,16.0,8.0,4.9,5.6,20.5,19.1,106.1,-6.2,30,27,26,27,5,28,13,30,8,3,25,27,26,23,2,20,4,27,24,18,18,20,26,11,29,24
1610612741,Chicago Bulls,38,18,20,0.474,48.1,43.4,92.3,0.471,16.4,43.8,0.375,14.8,18.7,0.793,9.4,35.9,45.3,29.6,15.1,7.7,4.7,5.0,18.1,16.5,118.2,-2.6,5,20,22,21,20,4,3,11,2,2,6,29,30,9,26,1,7,4,19,21,21,16,7,30,4,21
1610612739,Cleveland Cavaliers,37,33,4,0.892,48.0,45.2,89.6,0.505,16.3,40.4,0.405,16.2,20.9,0.775,9.8,33.8,43.6,29.4,13.0,8.8,4.6,4.5,18.2,18.8,122.9,11.5,15,1,1,1,25,1,14,1,3,5,1,19,22,19,23,10,18,5,3,11,24,8,10,16,1,2
1610612742,Dallas Mavericks,38,22,16,0.579,48.1,42.4,88.4,0.48,13.3,35.6,0.375,18.2,23.5,0.776,11.2,33.9,45.2,25.1,14.3,8.1,5.9,4.3,19.1,19.0,116.4,4.6,5,7,8,8,20,10,18,6,16,23,7,6,6,18,10,8,9,20,14,16,5,5,16,13,8,7
1610612743,Denver Nuggets,37,22,15,0.595,48.5,45.1,90.4,0.499,11.9,31.1,0.382,18.5,24.4,0.761,10.9,34.4,45.3,31.5,14.1,8.8,4.7,5.6,18.1,20.1,120.6,4.1,15,7,7,7,3,2,10,2,27,30,3,5,2,27,14,5,8,1,12,10,23,23,9,5,3,8
1610612765,Detroit Pistons,38,19,19,0.5,48.5,41.5,88.9,0.467,13.5,37.3,0.362,15.2,19.9,0.766,11.1,33.6,44.7,25.7,15.8,7.3,5.1,4.9,20.2,17.7,111.8,-1.4,5,15,16,16,4,14,16,13,14,16,17,28,27,24,11,14,12,16,22,29,15,13,23,28,16,18
1610612744,Golden State Warriors,38,19,19,0.5,48.1,41.1,91.7,0.448,15.0,41.4,0.363,14.1,19.8,0.711,12.7,33.8,46.4,28.6,14.5,8.9,5.4,6.1,19.3,17.5,111.3,0.4,5,15,16,16,20,16,6,23,5,4,16,30,28,30,4,11,3,8,15,8,10,28,17,29,18,15
1610612745,Houston Rockets,37,25,12,0.676,48.4,41.7,93.9,0.444,11.9,36.3,0.329,17.8,23.4,0.762,14.5,34.3,48.8,22.0,13.4,8.7,5.2,6.1,19.8,20.2,113.1,6.0,15,4,4,4,7,12,1,28,25,19,29,9,7,26,1,6,1,29,5,12,12,27,20,4,12,6
1610612754,Indiana Pacers,39,21,18,0.538,48.3,43.1,87.9,0.49,12.7,33.9,0.373,16.5,21.3,0.778,8.9,32.7,41.6,28.2,13.9,8.1,5.1,4.5,19.4,18.6,115.4,-0.1,2,10,14,14,15,7,19,4,19,27,8,18,16,17,29,23,27,9,9,17,16,6,18,20,11,16
