,,Restricted Area,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Above the Break 3,Backcourt,Backcourt,Backcourt,Corner 3,Corner 3,Corner 3
TEAM_ID,TEAM_NAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
1610612737,Atlanta Hawks,19.2,29.4,0.654,8.2,20.2,0.405,2.3,5.6,0.418,1.8,4.5,0.39,2.5,5.9,0.426,8.8,26.1,0.336,0.0,0.4,0.071,4.3,10.4,0.41
1610612738,Boston Celtics,15.2,21.3,0.715,5.7,13.1,0.435,2.7,6.6,0.402,2.0,5.6,0.355,1.8,4.6,0.399,14.2,39.2,0.362,0.0,0.1,0.0,3.8,10.2,0.375
1610612751,Brooklyn Nets,14.9,24.2,0.619,6.0,15.3,0.391,2.7,6.1,0.448,1.8,5.2,0.342,2.0,5.6,0.35,10.6,28.3,0.373,0.0,0.1,0.0,3.8,10.9,0.346
1610612766,Charlotte Hornets,15.1,24.6,0.615,5.6,14.9,0.375,3.2,8.5,0.375,1.9,5.1,0.363,1.6,4.5,0.363,10.8,32.1,0.337,0.0,0.3,0.0,3.5,9.6,0.363
1610612741,Chicago Bulls,17.7,28.0,0.63,6.5,12.9,0.504,2.9,7.5,0.381,2.7,6.0,0.441,1.8,5.2,0.343,11.9,32.4,0.369,0.0,0.2,0.143,4.4,11.2,0.396
1610612739,Cleveland Cavaliers,18.4,27.8,0.662,7.2,13.9,0.52,3.3,7.5,0.434,2.5,5.8,0.439,2.1,5.1,0.413,11.7,29.4,0.397,0.0,0.1,0.0,4.6,10.9,0.427
1610612742,Dallas Mavericks,16.4,23.4,0.699,8.6,19.6,0.439,4.1,9.8,0.421,1.8,4.8,0.381,1.8,4.6,0.381,9.8,26.1,0.374,0.0,0.1,0.0,3.6,9.4,0.381
1610612743,Denver Nuggets,20.7,30.9,0.668,8.6,18.5,0.466,3.9,9.8,0.397,1.5,3.3,0.447,1.3,3.1,0.421,9.1,24.3,0.375,0.0,0.4,0.0,2.8,6.4,0.435
1610612765,Detroit Pistons,16.2,24.6,0.661,8.1,18.1,0.45,3.7,9.0,0.405,1.4,4.3,0.337,2.1,5.6,0.379,9.9,27.2,0.366,0.0,0.2,0.0,3.6,9.8,0.361
1610612744,Golden State Warriors,15.4,23.3,0.661,7.9,19.2,0.411,2.8,7.8,0.36,1.9,5.3,0.363,1.8,4.4,0.41,11.3,31.5,0.358,0.0,0.2,0.0,3.7,9.7,0.384
1610612745,Houston Rockets,18.2,28.0,0.652,7.4,19.2,0.385,4.1,10.4,0.393,1.4,3.4,0.394,1.6,4.4,0.377,8.9,28.3,0.316,0.0,0.2,0.0,3.0,7.8,0.384
1610612754,Indiana Pacers,16.8,24.5,0.685,8.9,18.1,0.494,4.7,11.4,0.416,1.8,4.2,0.427,2.0,4.5,0.441,8.9,24.9,0.357,0.0,0.3,0.0,3.8,8.7,0.434
1610612746,LA Clippers,15.7,24.3,0.644,9.0,20.3,0.444,2.6,6.8,0.382,1.5,4.1,0.366,1.8,4.4,0.41,9.2,25.8,0.356,0.0,0.1,0.0,3.3,8.5,0.389
1610612747,Los Angeles Lakers,17.6,25.0,0.703,7.3,17.5,0.415,3.8,9.6,0.395,1.8,4.5,0.404,1.1,3.1,0.373,9.0,25.9,0.346,0.0,0.2,0.0,2.9,7.5,0.391
1610612763,Memphis Grizzlies,18.0,25.7,0.701,10.5,24.0,0.438,2.3,5.2,0.449,2.0,5.9,0.335,2.0,4.9,0.405,10.0,26.8,0.372,0.0,0.3,0.083,3.9,10.8,0.367
1610612748,Miami Heat,13.9,21.9,0.632,9.0,20.0,0.451,2.6,6.6,0.39,2.5,6.4,0.394,1.9,5.4,0.359,9.6,26.3,0.364,0.0,0.2,0.0,4.5,11.8,0.378
1610612749,Milwaukee Bucks,16.2,24.6,0.657,5.2,11.3,0.459,5.5,13.2,0.419,1.9,4.2,0.464,2.1,4.6,0.446,10.5,28.3,0.37,0.0,0.2,0.143,4.0,8.8,0.454
1610612750,Minnesota Timberwolves,15.3,23.2,0.66,6.3,16.0,0.392,2.4,6.5,0.368,1.8,5.4,0.343,1.8,5.0,0.349,11.5,29.3,0.391,0.0,0.2,0.0,3.6,10.4,0.346
1610612740,New Orleans Pelicans,16.8,27.1,0.623,6.4,17.1,0.371,4.8,11.2,0.427,1.8,4.3,0.411,1.4,4.3,0.314,8.7,26.0,0.334,0.0,0.1,0.0,3.1,8.6,0.362
1610612752,New York Knicks,17.9,26.5,0.675,8.4,16.8,0.498,4.0,9.6,0.42,2.0,5.4,0.365,2.0,5.2,0.383,9.1,24.1,0.377,0.0,0.3,0.0,3.9,10.6,0.374
1610612760,Oklahoma City Thunder,16.2,24.3,0.665,8.8,19.2,0.461,4.8,10.2,0.466,1.8,5.0,0.37,1.5,3.6,0.415,10.1,29.4,0.345,0.0,0.1,0.0,3.4,8.6,0.389
1610612753,Orlando Magic,17.8,26.2,0.678,5.4,13.6,0.4,3.2,8.3,0.381,1.8,5.7,0.31,1.8,4.7,0.38,8.0,26.4,0.302,0.0,0.4,0.0,3.5,10.3,0.341
1610612755,Philadelphia 76ers,16.0,25.6,0.624,6.4,14.7,0.438,3.5,9.0,0.388,1.6,4.1,0.378,1.4,4.0,0.364,9.3,27.7,0.336,0.0,0.3,0.0,3.0,8.1,0.371
1610612756,Phoenix Suns,12.1,17.3,0.7,8.7,19.6,0.443,5.3,11.0,0.484,2.4,5.6,0.433,2.2,5.6,0.395,9.4,26.2,0.358,0.0,0.0,0.0,4.6,11.2,0.414
1610612757,Portland Trail Blazers,18.9,30.1,0.627,5.5,15.2,0.365,3.6,8.2,0.444,1.3,4.0,0.333,2.0,5.4,0.375,8.8,26.2,0.335,0.0,0.2,0.125,3.4,9.4,0.357
1610612758,Sacramento Kings,14.1,19.9,0.71,10.0,20.2,0.497,6.3,14.7,0.432,2.1,5.2,0.403,1.4,3.9,0.356,8.9,26.6,0.336,0.0,0.2,0.0,3.5,9.1,0.383
1610612759,San Antonio Spurs,17.7,26.7,0.662,5.1,12.6,0.406,3.7,9.4,0.396,1.8,5.0,0.355,1.9,4.7,0.411,10.0,30.1,0.331,0.0,0.2,0.0,3.7,9.8,0.382
1610612761,Toronto Raptors,19.3,31.1,0.619,7.9,17.6,0.449,3.4,8.1,0.414,2.1,5.3,0.384,2.1,5.2,0.397,7.3,22.2,0.329,0.0,0.3,0.0,4.1,10.6,0.391
1610612762,Utah Jazz,14.1,21.5,0.656,9.3,20.3,0.459,2.1,6.0,0.341,2.1,5.3,0.402,2.0,4.7,0.426,9.9,28.1,0.351,0.0,0.3,0.0,4.1,9.9,0.413
1610612764,Washington Wizards,17.3,25.4,0.681,7.3,19.0,0.382,3.3,9.0,0.36,1.2,3.5,0.339,1.1,2.9,0.362,10.3,30.7,0.334,0.0,0.2,0.0,2.3,6.4,0.349
