Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Memphis Grizzlies,36,240.0,45.0,93.2,0.483,14.1,38.2,0.37,30.9,55.0,0.562,19.1,24.6,0.776,12.9,35.6,48.5,30.5,9.0,6.4,17.4,21.3,123.2
2.0,Cleveland Cavaliers,34,240.0,45.1,89.5,0.504,16.4,40.3,0.406,28.8,49.2,0.585,16.1,20.7,0.776,9.6,34.3,43.9,29.1,8.9,4.7,13.0,18.4,122.7
3.0,Denver Nuggets,34,242.9,45.1,90.6,0.498,11.8,31.1,0.379,33.4,59.5,0.56,18.8,24.6,0.763,10.9,34.4,45.4,31.7,8.8,4.7,14.1,18.0,120.8
4.0,Boston Celtics,35,242.1,42.1,91.0,0.462,18.7,50.3,0.371,23.4,40.7,0.575,16.5,20.9,0.787,10.9,34.0,45.0,25.7,7.7,5.6,11.8,16.1,119.3
5.0,Chicago Bulls,35,240.7,43.1,92.1,0.469,16.5,44.1,0.374,26.7,48.0,0.555,15.1,18.9,0.798,9.2,35.9,45.1,29.6,7.5,4.7,15.1,18.3,117.9
6.0,New York Knicks,36,240.7,43.8,87.8,0.498,13.6,35.5,0.382,30.2,52.3,0.577,16.8,20.9,0.8,10.1,33.3,43.4,27.8,7.7,4.0,13.1,17.2,117.8
7.0,Atlanta Hawks,36,241.4,42.7,92.1,0.464,12.9,36.8,0.35,29.8,55.3,0.54,18.9,24.1,0.781,12.1,33.4,45.5,29.7,10.4,5.3,16.3,18.4,117.1
8.0,Dallas Mavericks,35,240.7,42.5,88.2,0.482,13.3,35.7,0.373,29.2,52.5,0.556,18.4,23.8,0.773,11.0,33.8,44.8,25.0,8.2,6.0,14.4,19.1,116.7
9.0,Oklahoma City Thunder,34,240.0,43.1,92.1,0.468,13.5,38.6,0.349,29.6,53.4,0.554,15.8,19.4,0.813,10.1,33.6,43.6,25.9,11.8,6.0,11.7,20.2,115.4
10.0,Sacramento Kings,35,242.1,42.8,89.9,0.476,12.1,35.3,0.342,30.7,54.6,0.563,17.8,22.1,0.805,10.5,33.2,43.7,26.0,8.1,4.7,13.4,20.1,115.4
11.0,Indiana Pacers,36,241.4,42.9,88.0,0.488,12.9,34.4,0.374,30.1,53.6,0.561,16.6,21.2,0.781,8.9,32.6,41.5,28.2,8.0,5.2,14.0,19.6,115.3
12.0,Golden State Warriors,34,240.7,41.3,91.9,0.45,15.3,41.3,0.37,26.1,50.6,0.515,14.7,20.6,0.711,12.8,33.9,46.7,28.9,8.9,5.5,14.3,19.4,112.6
13.0,Milwaukee Bucks,33,240.8,41.1,86.5,0.475,14.3,37.4,0.383,26.8,49.1,0.545,15.8,21.5,0.733,8.3,35.1,43.4,24.4,7.9,5.1,14.1,18.5,112.3
14.0,Los Angeles Lakers,34,240.7,40.8,86.2,0.473,11.8,33.6,0.352,28.9,52.6,0.55,18.8,23.9,0.789,9.6,32.1,41.7,26.5,7.7,4.8,13.6,16.4,112.2
15.0,Houston Rockets,34,242.2,41.3,93.6,0.441,11.8,36.2,0.325,29.5,57.4,0.514,17.7,23.0,0.772,14.2,34.7,48.9,21.8,8.6,5.4,13.7,19.7,112.1
16.0,Phoenix Suns,33,241.5,39.9,85.3,0.468,14.2,37.8,0.376,25.7,47.4,0.541,18.0,22.6,0.799,9.4,33.2,42.6,27.0,7.8,5.2,14.2,18.0,112.1
17.0,Detroit Pistons,35,242.9,41.5,89.0,0.466,13.4,37.1,0.362,28.1,51.9,0.541,15.4,20.2,0.765,11.2,33.7,44.9,25.7,7.3,5.0,15.9,20.4,111.8
